created_at,Midlothian,Austin,Houston,Del Rio,Midland,McAllen
2021-09-01 00:00:00+00:00,4.79,8.32,7.6,5.37,7.57,23.39
2021-09-01 00:02:00+00:00,4.6,8.93,7.78,5.95,8.5,23.02
2021-09-01 00:04:00+00:00,5.7,10.1,7.64,5.84,8.07,25.49
2021-09-01 00:06:00+00:00,5.18,9.24,7.6899999999999995,7.07,8.66,25.22
2021-09-01 00:08:00+00:00,5.29,9.02,7.74,5.18,7.98,23.16
2021-09-01 00:10:00+00:00,5.68,8.96,7.7,6.14,7.17,25.59
2021-09-01 00:12:00+00:00,6.91,8.72,7.89,5.6,7.36,22.95
2021-09-01 00:14:00+00:00,5.77,8.79,7.58,4.96,8.43,25.45
2021-09-01 00:16:00+00:00,6.57,8.6,7.81,5.54,7.95,23.63
2021-09-01 00:18:00+00:00,6.08,8.91,7.73,5.84,7.91,23.26
2021-09-01 00:20:00+00:00,5.88,7.98,7.69,5.04,8.77,22.77
2021-09-01 00:22:00+00:00,7.09,8.34,7.567500000000001,6.17,8.16,23.18
2021-09-01 00:24:00+00:00,6.44,8.47,7.445,5.48,8.39,23.67
2021-09-01 00:26:00+00:00,6.46,8.46,7.8,5.07,7.66,23.19
2021-09-01 00:28:00+00:00,6.91,9.12,6.84,5.58,9.56,24.03
2021-09-01 00:30:00+00:00,5.82,7.8,7.41,5.87,9.47,24.12
2021-09-01 00:32:00+00:00,6.05,7.74,7.38,6.46,10.05,22.75
2021-09-01 00:34:00+00:00,5.77,8.69,7.27,5.51,10.12,23.86
2021-09-01 00:36:00+00:00,5.22,7.91,7.84,5.29,8.66,23.32
2021-09-01 00:38:00+00:00,6.0,9.1,7.7575,5.18,7.98,24.24
2021-09-01 00:40:00+00:00,5.86,7.73,7.675,5.24,7.43,26.12
2021-09-01 00:42:00+00:00,6.89,8.43,7.56,5.28,7.24,24.81
2021-09-01 00:44:00+00:00,7.63,8.02,7.59,5.51,7.58,25.96
2021-09-01 00:46:00+00:00,6.89,7.39,7.55,5.15,7.89,25.76
2021-09-01 00:48:00+00:00,7.21,8.42,7.58,5.26,8.39,28.86
2021-09-01 00:50:00+00:00,7.5,7.85,8.0,4.65,6.92,29.09
2021-09-01 00:52:00+00:00,6.12,7.95,7.43,5.32,7.15,26.52
2021-09-01 00:54:00+00:00,6.7,8.4,6.9275,5.88,6.81,26.91
2021-09-01 00:56:00+00:00,5.68,8.55,6.425000000000001,5.12,7.36,29.84
2021-09-01 00:58:00+00:00,6.32,8.46,6.83,5.35,6.55,28.36
2021-09-01 01:00:00+00:00,6.2,9.95,7.36,5.59,6.1,27.77
2021-09-01 01:02:00+00:00,6.56,10.43,6.61,4.9,6.6,27.21
2021-09-01 01:04:00+00:00,5.73,9.27,6.53,6.45,6.7,28.65
2021-09-01 01:06:00+00:00,5.93,9.79,5.91,5.66,7.74,28.58
2021-09-01 01:08:00+00:00,6.07,11.05,7.23,4.55,6.81,28.68
2021-09-01 01:10:00+00:00,6.16,10.32,6.78,5.54,7.34,27.45
2021-09-01 01:12:00+00:00,5.72,10.6,6.33,4.97,7.18,28.35
2021-09-01 01:14:00+00:00,7.75,10.21,6.96,6.02,7.45,27.85
2021-09-01 01:16:00+00:00,7.45,9.63,6.62,5.91,7.62,29.16
2021-09-01 01:18:00+00:00,6.91,7.7,6.32,5.7,8.07,30.48
2021-09-01 01:20:00+00:00,7.19,9.23,6.64,5.18,8.05,28.85
2021-09-01 01:22:00+00:00,7.81,9.45,7.0,5.31,8.66,28.28
2021-09-01 01:24:00+00:00,7.0,10.59,5.91,5.29,9.52,30.48
2021-09-01 01:26:00+00:00,7.39,9.28,6.27,5.93,8.68,29.37
2021-09-01 01:28:00+00:00,6.66,9.86,6.63,5.48,8.19,31.02
2021-09-01 01:30:00+00:00,7.55,10.02,6.77,4.95,8.29,30.11
2021-09-01 01:32:00+00:00,8.32,10.54,6.72,4.73,7.89,30.64
2021-09-01 01:34:00+00:00,7.91,10.05,6.67,5.24,7.91,31.41
2021-09-01 01:36:00+00:00,8.25,9.84,5.78,5.9,7.75,31.64
2021-09-01 01:38:00+00:00,8.47,10.61,6.69,6.51,7.81,30.33
2021-09-01 01:40:00+00:00,7.24,11.33,7.62,5.89,8.19,30.64
2021-09-01 01:42:00+00:00,7.64,9.62,7.3825,5.53,8.52,28.84
2021-09-01 01:44:00+00:00,7.02,9.04,7.145,5.4,8.02,28.31
2021-09-01 01:46:00+00:00,6.42,11.03,5.55,6.03,8.5,29.58
2021-09-01 01:48:00+00:00,6.67,10.98,6.25,5.76,8.49,28.89
2021-09-01 01:50:00+00:00,7.23,10.33,6.64,5.46,7.88,29.78
2021-09-01 01:52:00+00:00,6.29,10.11,6.4,5.58,7.95,28.7
2021-09-01 01:54:00+00:00,6.21,10.95,6.38,6.05,8.22,30.12
2021-09-01 01:56:00+00:00,7.17,9.86,6.62,5.33,8.49,29.77
2021-09-01 01:58:00+00:00,6.46,10.04,6.630000000000001,5.98,7.96,28.98
2021-09-01 02:00:00+00:00,7.62,10.89,6.640000000000001,5.55,8.52,31.05
2021-09-01 02:02:00+00:00,8.67,9.36,6.83,5.56,7.68,28.83
2021-09-01 02:04:00+00:00,8.6,10.37,6.4,5.25,9.29,28.68
2021-09-01 02:06:00+00:00,7.57,10.81,7.0,5.34,9.12,29.64
2021-09-01 02:08:00+00:00,7.91,9.93,7.04,4.84,7.98,30.05
2021-09-01 02:10:00+00:00,7.92,10.26,7.41,4.79,7.71,29.31
2021-09-01 02:12:00+00:00,7.68,11.41,7.25,5.87,8.8,30.12
2021-09-01 02:14:00+00:00,7.79,10.12,7.045,5.26,8.79,30.87
2021-09-01 02:16:00+00:00,8.26,10.09,6.84,5.79,8.9,29.71
2021-09-01 02:18:00+00:00,8.17,10.79,7.07,5.47,8.65,30.9
2021-09-01 02:20:00+00:00,7.98,10.07,7.71,6.11,8.47,30.09
2021-09-01 02:22:00+00:00,7.6,11.43,7.48,5.86,8.62,31.3
2021-09-01 02:24:00+00:00,8.05,11.16,6.95,5.33,8.9,32.11
2021-09-01 02:26:00+00:00,8.03,11.48,7.85,5.91,8.14,32.17
2021-09-01 02:28:00+00:00,7.76,11.12,7.87,6.35,8.93,31.26
2021-09-01 02:30:00+00:00,9.27,11.55,7.575,5.55,9.25,30.96
2021-09-01 02:32:00+00:00,7.67,9.98,7.28,6.81,9.39,30.89
2021-09-01 02:34:00+00:00,7.43,11.42,7.53,6.38,9.66,31.0
2021-09-01 02:36:00+00:00,7.19,11.55,8.11,6.05,8.59,30.82
2021-09-01 02:38:00+00:00,6.41,10.91,7.38,5.87,9.33,31.09
2021-09-01 02:40:00+00:00,7.36,11.89,7.74,6.42,9.19,31.65
2021-09-01 02:42:00+00:00,7.6,11.64,6.82,6.48,8.75,30.96
2021-09-01 02:44:00+00:00,7.71,9.93,6.39,6.12,8.9,31.61
2021-09-01 02:46:00+00:00,7.07,12.05,7.352499999999999,5.45,10.32,32.54
2021-09-01 02:48:00+00:00,7.8,11.35,8.315,5.79,9.61,32.12
2021-09-01 02:50:00+00:00,7.68,11.75,8.462499999999999,5.69,10.24,30.72
2021-09-01 02:52:00+00:00,9.19,12.98,8.61,6.59,9.83,30.91
2021-09-01 02:54:00+00:00,7.9,12.72,8.2,5.91,9.86,32.56
2021-09-01 02:56:00+00:00,8.48,13.53,9.31,5.51,9.53,31.38
2021-09-01 02:58:00+00:00,7.95,12.29,8.66,5.96,9.69,32.29
2021-09-01 03:00:00+00:00,8.47,10.98,8.11,7.0,10.49,33.21
2021-09-01 03:02:00+00:00,8.51,10.76,8.145,6.1,9.6,32.02
2021-09-01 03:04:00+00:00,8.6,10.21,8.18,5.7,8.98,32.4
2021-09-01 03:06:00+00:00,8.55,11.53,8.86,6.52,8.55,33.11
2021-09-01 03:08:00+00:00,8.68,11.61,8.2,6.78,8.83,33.17
2021-09-01 03:10:00+00:00,8.65,10.86,8.78,6.56,9.39,32.15
2021-09-01 03:12:00+00:00,7.47,12.89,7.69,5.88,8.76,32.47
2021-09-01 03:14:00+00:00,8.19,12.28,7.65,7.26,9.25,32.37
2021-09-01 03:16:00+00:00,8.18,12.79,7.85,6.59,9.53,32.35
2021-09-01 03:18:00+00:00,8.54,12.97,7.8374999999999995,6.12,9.54,33.59
2021-09-01 03:20:00+00:00,8.4,12.12,7.824999999999999,5.79,8.97,32.55
2021-09-01 03:22:00+00:00,9.33,12.75,8.57,6.07,9.59,33.51
2021-09-01 03:24:00+00:00,8.57,13.05,8.8,6.67,10.16,33.75
2021-09-01 03:26:00+00:00,8.0,12.91,8.37,6.5,8.84,32.83
2021-09-01 03:28:00+00:00,8.62,12.84,8.81,6.83,9.39,34.11
2021-09-01 03:30:00+00:00,9.92,12.91,8.1,5.46,8.46,33.0
2021-09-01 03:32:00+00:00,10.0,14.49,7.0,6.59,8.5,34.26
2021-09-01 03:34:00+00:00,8.96,16.4,8.195,6.43,8.55,33.64
2021-09-01 03:36:00+00:00,8.85,15.47,9.39,7.47,8.86,33.07
2021-09-01 03:38:00+00:00,9.4,15.43,9.23,6.6,9.37,34.75
2021-09-01 03:40:00+00:00,9.58,15.41,8.85,6.86,7.79,34.24
2021-09-01 03:42:00+00:00,9.17,15.62,9.02,6.31,9.02,35.21
2021-09-01 03:44:00+00:00,11.18,16.88,9.63,5.86,9.3,35.74
2021-09-01 03:46:00+00:00,10.34,14.19,8.55,6.21,9.03,34.95
2021-09-01 03:48:00+00:00,11.47,16.76,9.0,5.95,8.05,34.57
2021-09-01 03:50:00+00:00,11.71,17.62,8.99,5.89,8.81,34.4
2021-09-01 03:52:00+00:00,10.69,16.6,8.98,5.92,8.74,35.77
2021-09-01 03:54:00+00:00,11.23,18.96,9.77,6.4,8.98,36.19
2021-09-01 03:56:00+00:00,10.73,18.12,9.26,6.39,9.5,35.55
2021-09-01 03:58:00+00:00,9.72,20.05,8.31,6.84,9.23,35.47
2021-09-01 04:00:00+00:00,10.86,20.71,9.65,6.17,9.46,37.34
2021-09-01 04:02:00+00:00,10.28,19.92,9.0,7.25,8.03,35.88
2021-09-01 04:04:00+00:00,10.05,19.44,9.74,6.46,9.29,36.51
2021-09-01 04:06:00+00:00,10.43,19.67,9.754999999999999,7.49,9.28,36.79
2021-09-01 04:08:00+00:00,10.28,20.41,9.77,6.5,9.71,36.39
2021-09-01 04:10:00+00:00,10.03,19.02,9.31,6.59,9.4,36.96
2021-09-01 04:12:00+00:00,10.22,18.95,9.09,7.43,9.25,37.07
2021-09-01 04:14:00+00:00,10.25,20.0,9.43,7.71,9.91,37.33
2021-09-01 04:16:00+00:00,11.14,20.42,9.38,6.61,9.78,36.72
2021-09-01 04:18:00+00:00,10.02,20.6,9.62,6.33,10.47,37.24
2021-09-01 04:20:00+00:00,11.02,20.36,9.12,7.02,9.25,37.91
2021-09-01 04:22:00+00:00,11.27,22.67,9.3325,6.54,9.86,37.5
2021-09-01 04:24:00+00:00,10.89,18.47,9.545,7.86,10.77,38.31
2021-09-01 04:26:00+00:00,11.44,21.89,9.56,7.36,10.71,37.07
2021-09-01 04:28:00+00:00,11.03,19.76,9.89,6.42,10.34,38.65
2021-09-01 04:30:00+00:00,10.12,22.44,9.79,8.12,9.9,37.88
2021-09-01 04:32:00+00:00,10.25,21.42,9.28,7.03,10.76,38.71
